339:0,53,9,LAPTOP#OPERATION_PERFORMANCE,positive,"Zwykły i prosty, działa świetnie i szybko się ładuje."
339:1,96,13,LAPTOP#PORTABILITY,positive,"Łatwy do przenoszenia, można go wszędzie zabrać, podłączyć do drukarek i zestawów słuchawkowych."
339:1,96,13,LAPTOP#CONNECTIVITY,positive,"Łatwy do przenoszenia, można go wszędzie zabrać, podłączyć do drukarek i zestawów słuchawkowych."
273:0,81,10,LAPTOP#DESIGN_FEATURES,positive,Już teraz jestem zafascynowany eleganckim wyglądem i niezawodnością tego laptopa.
273:0,81,10,LAPTOP#QUALITY,positive,Już teraz jestem zafascynowany eleganckim wyglądem i niezawodnością tego laptopa.
273:1,157,24,OS#USABILITY,neutral,"Ponieważ przez całe życie korzystałam z komputera PC, trochę czasu zajmuje mi przystosowanie się do systemu operacyjnego Mac, ale powoli się w nim odnajduję."
273:2,48,6,LAPTOP#DESIGN_FEATURES,positive,Konstrukcja unibody jest elegancka i wytrzymała.
273:2,48,6,LAPTOP#QUALITY,positive,Konstrukcja unibody jest elegancka i wytrzymała.
273:3,88,13,DISPLAY#DESIGN_FEATURES,positive,"Wyświetlacz z podświetleniem LED sprawia, że moje zdjęcia są o wiele bardziej wyraziste."
273:4,104,14,MOUSE#DESIGN_FEATURES,positive,"Poznaję opcje palców na podkładce pod mysz, które pozwalają na szybsze przeglądanie stron internetowych."
273:4,104,14,LAPTOP#USABILITY,positive,"Poznaję opcje palców na podkładce pod mysz, które pozwalają na szybsze przeglądanie stron internetowych."
273:6,83,11,LAPTOP#DESIGN_FEATURES,positive,"Kluczowym czynnikiem, który skłonił mnie do komputera Mac, jest aspekt artystyczny."
273:7,133,20,SOFTWARE#MISCELLANEOUS,positive,"Do edycji wideo i zdjęć opracowano doskonałe oprogramowanie własne i nie mogę się doczekać, aby regularnie korzystać z tych narzędzi."
273:8,140,24,LAPTOP#GENERAL,positive,"Nie mogę się doczekać, by dowiedzieć się więcej o tym, co ta potężna maszyna ma do zaoferowania, i zachęcić innych do zrobienia tego samego."
273:8,140,24,LAPTOP#OPERATION_PERFORMANCE,positive,"Nie mogę się doczekać, by dowiedzieć się więcej o tym, co ta potężna maszyna ma do zaoferowania, i zachęcić innych do zrobienia tego samego."
273:9,45,8,LAPTOP#PRICE,negative,"Jest droższy, ale na dłuższą metę się opłaca."
273:9,45,8,LAPTOP#GENERAL,positive,"Jest droższy, ale na dłuższą metę się opłaca."
240:0,60,10,LAPTOP#GENERAL,positive,"Świetny produkt, bardzo łatwy w użyciu i ze świetną grafiką."
240:0,60,10,LAPTOP#USABILITY,positive,"Świetny produkt, bardzo łatwy w użyciu i ze świetną grafiką."
240:0,60,10,GRAPHICS#GENERAL,positive,"Świetny produkt, bardzo łatwy w użyciu i ze świetną grafiką."
240:1,52,8,KEYBOARD#DESIGN_FEATURES,negative,"Jedna wada, szkoda, że klawisze nie są podświetlane."
